Escape Room Name,Address,Phone Number,URL of Escape Room,Hours of Operation,Reviews,Average Salary,Number of Employees,Opening Year,Website,Email,Google Reviews,Price Level,Rating,Type of Business,Business Hours,Google Business URL,Facebook,Twitter,Instagram
Willis Ltd,"3314 Baird Trail
Longchester, WV 31719",(430)296-1318x518,https://hudson.com/,10 AM - 7 PM,426,"$44,113",37,2004,https://www.williams.info/,icummings@example.org,769,Inexpensive,4.7,Adventure Park,10 AM - 5 PM,https://nielsen.info/,http://miller.com/,https://www.schmidt-thomas.net/,https://young-simpson.com/
"Lambert, Flores and Evans","212 Marks Wells Suite 230
Drewfort, FL 43817",001-956-499-5719x897,http://fisher.com/,11 AM - 8 PM,491,"$45,314",11,2016,https://valdez.info/,michelle49@example.org,297,Very Expensive,3.1,Puzzle Room,10 AM - 5 PM,http://www.meyers.com/,https://www.bonilla.com/,http://www.mitchell.com/,https://www.flores.com/
Cruz-Lucero,"745 Samantha Isle
North Nathan, HI 77211",4416953988,https://www.pineda.com/,10 AM - 5 PM,204,"$44,525",9,2001,https://adams.com/,sara60@example.org,910,Moderate,4.5,Escape Room,9 AM - 7 PM,http://fox.com/,https://gonzalez-martinez.org/,https://andrews-conley.com/,https://rivera.com/
"Lopez, Patterson and Torres","5552 Lyons Green Apt. 661
New Kevinville, NM 11582",(955)303-2325x7231,https://walker-mclaughlin.info/,10 AM - 7 PM,162,"$20,109",40,2009,http://stone.com/,linda90@example.org,65,Inexpensive,3.8,Adventure Park,9 AM - 9 PM,http://johnson.biz/,http://obrien.biz/,https://williams.com/,https://www.thomas.com/
Nelson-Jones,"40515 Cortez Pine Suite 342
Walkerland, PW 56163",905-275-2256x521,https://cobb.com/,11 AM - 9 PM,215,"$42,255",49,2018,https://gonzalez.org/,stacey90@example.net,298,Expensive,4.8,Adventure Park,11 AM - 11 PM,https://www.mayo.org/,http://www.lynch.com/,http://burnett-harper.com/,https://www.drake-esparza.com/
"Gonzales, Tran and Harvey","4985 Hernandez Lights
Lake Marilynview, MA 74154",(365)827-6380x5571,https://www.harvey-johnson.com/,9 AM - 11 PM,136,"$37,752",34,2020,http://lynn.com/,patrickcastaneda@example.com,796,Free,1.9,Adventure Park,9 AM - 5 PM,https://carroll-wheeler.com/,https://peterson-moyer.com/,https://long.com/,https://www.peterson.com/
Walsh Group,"09059 Gross Summit
Emilyborough, SC 43413",619-743-8021,https://small.net/,9 AM - 6 PM,438,"$21,736",28,2016,http://peterson.org/,lisa45@example.com,225,Very Expensive,1.1,Escape Room,11 AM - 5 PM,http://www.king.org/,http://johnson-martinez.com/,http://white.biz/,https://martin-farrell.com/
"Wilson, Garcia and Obrien","26110 Derek Manor
North Annette, MS 94978",+1-947-569-3882x278,https://www.meadows.org/,9 AM - 6 PM,211,"$29,122",43,2012,https://garcia.org/,andrewchavez@example.com,411,Inexpensive,1.1,Escape Room,10 AM - 9 PM,http://www.martin.net/,http://www.thomas.com/,https://www.preston.org/,http://ramsey-thomas.com/
Nichols-Day,"48721 Walter Turnpike Apt. 212
Tyroneport, CT 86407",001-397-786-0659x203,http://www.lynch-myers.net/,9 AM - 7 PM,377,"$53,331",28,2020,https://reynolds-kelley.net/,james26@example.org,740,Inexpensive,2.3,Escape Room,11 AM - 10 PM,https://austin-mclean.biz/,http://wilson-roberts.com/,http://hanson-hays.info/,http://www.martin-velasquez.com/
Watts-Butler,"490 Carrie Place Suite 358
New Emilytown, NJ 74143",918-996-0369x30099,https://morris.com/,10 AM - 10 PM,214,"$48,171",37,2005,https://elliott.biz/,walkermolly@example.net,501,Very Expensive,1.1,Adventure Park,10 AM - 5 PM,https://www.ayala.net/,http://www.vargas-johnston.biz/,http://quinn.com/,http://www.durham-frazier.com/
"Gilbert, Schneider and Ellis","452 Reginald Harbor
Floresburgh, DC 21917",890-358-1476x1812,http://aguilar.com/,10 AM - 11 PM,8,"$23,588",42,2005,http://morrison-benson.org/,yayers@example.org,629,Expensive,1.9,Puzzle Room,9 AM - 6 PM,http://www.villarreal.org/,http://jones.com/,http://www.hill.com/,https://acosta-ruiz.info/
"Cox, Schultz and Hill","4374 Kristin Shore
Alexandermouth, OH 84753",491.846.6747,https://www.smith.net/,9 AM - 7 PM,274,"$30,877",42,2007,http://miles-johnson.org/,ryandustin@example.com,660,Expensive,4.5,Adventure Park,9 AM - 10 PM,http://smith-giles.biz/,https://moore.net/,http://www.carr-martinez.net/,http://www.ashley.biz/
"Carter, Gonzales and Cortez","3733 Michael Ridges Suite 521
New Justintown, PR 47203",644.922.2999x80948,http://www.suarez.com/,9 AM - 8 PM,241,"$41,146",19,2011,https://smith.com/,jsmith@example.com,50,Moderate,2.4,Adventure Park,9 AM - 9 PM,https://www.key-jones.com/,http://mathews-dunn.com/,https://lewis-espinoza.org/,https://www.kim-zavala.com/
Stewart PLC,"966 Reyes Overpass Apt. 832
New Christopherberg, SD 75664",981.712.8262x65745,http://www.jackson-berger.org/,9 AM - 6 PM,302,"$33,290",46,2018,http://smith-harris.biz/,rebecca71@example.org,779,Free,1.3,Adventure Park,9 AM - 11 PM,http://www.weaver.com/,http://www.coffey.biz/,https://ross-roberts.biz/,http://brown.com/
Cole and Sons,"82392 Dennis Springs
Joshuaport, UT 57662",+1-480-652-0536x628,https://frost.com/,11 AM - 11 PM,309,"$41,571",24,2017,http://www.petersen.com/,linda05@example.com,356,Free,1.9,Adventure Park,11 AM - 11 PM,http://www.campbell-shaw.net/,https://brown.com/,http://www.davidson.com/,http://www.jones-hunter.info/
"Wallace, Leonard and Harris","Unit 3473 Box 6806
DPO AA 79623",(446)462-4651,https://velazquez-clayton.com/,9 AM - 8 PM,256,"$49,000",48,2001,https://serrano.com/,pmeyers@example.net,584,Free,4.6,Puzzle Room,11 AM - 11 PM,https://weaver.com/,https://www.vaughn-smith.com/,http://stewart-perez.com/,https://martinez-hartman.com/
Jensen-Smith,"697 John Fall
Jonesmouth, MS 80562",+1-405-640-6699x860,http://www.shelton-harding.net/,11 AM - 7 PM,290,"$53,275",41,2009,https://barrera.com/,hbailey@example.org,910,Expensive,4.7,Escape Room,9 AM - 7 PM,https://www.lane.com/,https://miller.com/,https://www.gonzales.net/,https://www.fry.com/
"Thompson, Sanchez and Lyons","778 Gilbert Mission Suite 158
North Elizabeth, IL 31890",001-246-743-9890x9046,https://www.young.info/,9 AM - 7 PM,436,"$54,226",34,2002,http://www.mccarty.info/,umorgan@example.net,869,Inexpensive,2.4,Adventure Park,10 AM - 7 PM,https://www.english.com/,https://hawkins-bishop.com/,https://evans-maynard.info/,http://lee.com/
Parker Group,"44796 Gregory Key
Bakershire, FL 12811",+1-428-678-2742,https://www.ramos.info/,11 AM - 6 PM,69,"$34,357",10,2009,https://tran-dunn.net/,wendypruitt@example.net,394,Free,3.0,Adventure Park,9 AM - 7 PM,http://park.com/,https://www.medina.com/,http://peterson.com/,https://cisneros-ford.com/
Nelson-Hogan,"9666 Stark Brooks Suite 084
Anneside, CA 12837",4174779946,http://gonzales.com/,11 AM - 5 PM,121,"$35,798",16,2000,http://james-stewart.com/,ryanrojas@example.net,700,Free,3.3,Adventure Park,9 AM - 7 PM,https://www.hill.com/,https://www.garcia.net/,http://www.carrillo-williams.com/,https://www.jones-warren.com/
"Forbes, Thornton and Mcguire","204 Massey Place Suite 354
New Scott, WY 09342",+1-273-289-8688x02701,http://brooks.biz/,9 AM - 5 PM,491,"$23,221",24,2003,https://www.cobb-nelson.com/,sellersamanda@example.net,634,Free,4.6,Puzzle Room,10 AM - 8 PM,http://www.lee-joseph.com/,https://www.drake.com/,http://hardy.com/,https://brown-berry.com/
"Howell, Lee and Saunders","677 Wilson Valleys Apt. 734
Danielview, TX 33173",001-812-241-9874x54202,http://harrison-parker.info/,10 AM - 7 PM,44,"$58,480",39,2008,https://www.becker.com/,bchavez@example.com,809,Expensive,4.1,Adventure Park,11 AM - 8 PM,https://www.hunter-baker.biz/,http://www.miller-walker.com/,https://www.lawson.com/,https://short.com/
